janela,escopo,node,cvli_bruto,mortes_brutas,primeira_data,ultima_data,rank
all,municipio,PACOTI,8,8.0,2022-10-07,2025-03-06,243
all,bairro_fortaleza,PARQUE SANTA ROSA,8,8.0,2022-04-01,2025-10-19,244
all,municipio,PORTEIRAS,8,8.0,2022-03-27,2026-05-21,245
all,bairro_fortaleza,PRAIA DE IRACEMA,8,8.0,2022-01-16,2026-06-06,246
all,bairro_fortaleza,PRAIA DO FUTURO I,8,8.0,2022-05-04,2025-05-25,247
all,bairro_fortaleza,VILA UNIAO,8,8.0,2022-02-27,2025-05-29,248
all,municipio,AIUABA,7,7.0,2022-01-01,2026-05-10,249
all,bairro_fortaleza,AMADEU FURTADO,7,7.0,2023-03-25,2025-10-19,250
all,bairro_fortaleza,BELA VISTA,7,7.0,2022-02-04,2024-02-05,251
all,bairro_fortaleza,BENFICA,7,7.0,2022-04-17,2026-02-08,252
all,bairro_fortaleza,COUTO FERNANDES,7,7.0,2023-04-14,2026-04-17,253
all,bairro_fortaleza,DENDE,7,7.0,2022-03-05,2023-02-19,254
all,municipio,JARDIM,7,7.0,2022-04-15,2025-07-10,255
all,municipio,ABAIARA,6,6.0,2022-07-25,2026-03-22,256
all,municipio,CATUNDA,6,6.0,2022-02-07,2025-12-03,257
all,bairro_fortaleza,JARDIM AMERICA,6,6.0,2022-04-17,2024-07-14,258
all,bairro_fortaleza,MUCURIPE,6,6.0,2022-12-15,2025-06-30,259
all,bairro_fortaleza,PARQUE MANIBURA,6,6.0,2022-05-12,2025-08-22,260
all,municipio,PENAFORTE,6,6.0,2023-03-18,2024-08-01,261
all,municipio,POTENGI,6,6.0,2022-09-06,2026-05-14,262
all,municipio,POTIRETAMA,6,6.0,2022-04-18,2025-04-20,263
all,municipio,SENADOR SA,6,6.0,2022-06-19,2026-02-14,264
all,bairro_fortaleza,VARJOTA,6,6.0,2022-05-29,2024-09-07,265
all,municipio,ARARENDA,5,5.0,2022-02-20,2025-08-05,266
all,bairro_fortaleza,CIDADE 2000,5,5.0,2022-08-14,2025-12-10,267
all,bairro_fortaleza,COCO,5,5.0,2024-04-23,2025-11-16,268
all,municipio,MERUOCA,5,5.0,2022-06-18,2025-11-04,269
all,municipio,PALHANO,5,5.0,2022-04-10,2024-05-18,270
all,bairro_fortaleza,PARREAO,5,5.0,2022-02-12,2025-06-26,271
all,bairro_fortaleza,RODOLFO TEOFILO,5,5.0,2022-03-25,2024-10-16,272
all,municipio,TARRAFAS,5,5.0,2022-04-13,2026-02-05,273
all,municipio,ALCANTARAS,4,4.0,2022-10-23,2026-02-27,274
all,municipio,ANTONINA DO NORTE,4,4.0,2024-03-15,2024-09-21,275
all,municipio,HIDROLANDIA,4,4.0,2022-05-20,2026-06-01,276
all,municipio,IPAUMIRIM,4,4.0,2022-04-30,2026-07-14,277
all,municipio,JATI,4,4.0,2022-09-13,2025-10-10,278
all,bairro_fortaleza,PARQUELANDIA,4,4.0,2023-05-06,2025-12-01,279
all,municipio,ARNEIROZ,3,3.0,2022-12-18,2026-07-03,280
all,bairro_fortaleza,DAMAS,3,3.0,2022-02-24,2024-07-22,281
all,municipio,GUARAMIRANGA,3,3.0,2023-03-28,2024-04-14,282
all,bairro_fortaleza,JARDIM CEARENSE,3,3.0,2022-09-03,2025-07-09,283
all,municipio,MORAUJO,3,3.0,2022-12-04,2026-06-12,284
all,bairro_fortaleza,PANAMERICANO,3,3.0,2022-01-18,2022-10-18,285
all,municipio,PIRES FERREIRA,3,3.0,2023-10-17,2025-11-03,286
all,bairro_fortaleza,SALINAS,3,3.0,2025-02-16,2025-03-22,287
all,municipio,SANTANA DO CARIRI,3,3.0,2023-01-13,2026-04-12,288
all,bairro_fortaleza,SAO GERARDO,3,3.0,2023-06-12,2025-05-02,289
all,bairro_fortaleza,BOM FUTURO,2,2.0,2022-03-05,2023-10-19,290
all,bairro_fortaleza,GENTILANDIA,2,2.0,2023-07-28,2026-04-02,291
all,bairro_fortaleza,MONTE CASTELO,2,2.0,2022-12-09,2023-05-05,292
all,municipio,PACUJA,2,2.0,2023-02-12,2025-11-02,293
all,bairro_fortaleza,PARQUE ARAXA,2,2.0,2023-06-09,2024-11-15,294
all,municipio,UMARI,2,2.0,2022-03-20,2023-04-07,295
all,bairro_fortaleza,VILA ELLERY,2,2.0,2022-07-18,2023-11-08,296
all,bairro_fortaleza,CRISTO REDENTOR,1,1.0,2023-10-16,2023-10-16,297
all,bairro_fortaleza,DIONISIO TORRES,1,1.0,2023-07-20,2023-07-20,298
all,municipio,ERERE,1,1.0,2023-07-12,2023-07-12,299
