global_rank,micronode_id,score,bairro,regional,faction,longitude,latitude,local_street_pressure,nearby_streets_count,nearby_streets
1,Sítios Novos- Caucaia,78.63,CAUCAIA,rmf,CV,-38.95021675,-3.7455504687499994,2.021,4,SÍTIOS NOVOS- CAUCAIA; RUA BOA ESPERANÇA; ESTRADA PARÁ AGRIVILA
2,Coité Pedreira,78.583,CAUCAIA,rmf,CV,-38.744439309523806,-3.7462188095238096,3.092,5,COITÉ PEDREIRA; TRAVESSA DO PROFESSOR; RUA MARIA DO PATROCÍNIO
3,Japuara- Caucaia,78.162,PARQUE SOLEDADE,rmf,CV,-38.747452042553206,-3.682344829787234,1.572,4,AVENIDA RAPOSO TAVARES; JAPUARA- CAUCAIA; RUA MARIA LUIZA SOARES
4,João Cabral,78.116,JUAZEIRO DO NORTE,interior,CV,-39.31815930434783,-7.233151869565215,10.184,26,JOÃO CABRAL; RUA OZANA PEREIRA; RUA PIO NORÕES
5,Primavera,77.728,CAUCAIA,rmf,CV,-38.82577786363637,-3.7108689090909093,2.793,4,PRIMAVERA; RUA VALESCA; RUA ANTÔNIO BRASILEIRO
6,Tanubapa,77.688,CAUCAIA,rmf,CV,-38.7704654054054,-3.6430006756756748,2.3,3,TANUBAPA; TRAVESSA JEOVÁ; RUA FCO. JEOVÁ DA MOTA
7,Taquara - Caucaia,77.438,URUCUTUBA,rmf,CV,-38.663501657142845,-3.822248923809524,0.964,2,RODOVIA RAIMUNDO PESSOA DE ARAÚJO; TAQUARA - CAUCAIA
8,Planalto Caucaia,77.353,PARQUE SOLEDADE,rmf,CV,-38.662789479999994,-3.7458330000000006,2.71,7,PLANALTO CAUCAIA; RUA 107; NOVA CIGANA
9,Bairro do Triângulo,76.901,JUAZEIRO DO NORTE,interior,CV,-39.32688142857143,-7.231872107142855,9.168,28,BAIRRO DO TRIÂNGULO; RUA LETÍCIA VASCONCELOS; RUA JOAQUIM DE FIGUEIREDO
10,Planalto Caucaia,76.834,PARQUE SOLEDADE,rmf,CV,-38.6664246,-3.7444564999999996,2.516,7,AVENIDA CONTÔRNO NORTE; CONDOMÍNIO PABUSSU; RUA 107
11,Mingau - Caucaia,76.67,CAUCAIA,rmf,CV,-38.737788392857134,-3.825179428571428,2.447,4,MINGAU - CAUCAIA; RUA MINGUAU; RUA ALTO DAS CAMPINAS
12,Boqueirão- Caucaia,76.036,CAUCAIA,rmf,CV,-38.766643676470586,-3.725872588235294,1.964,3,BOQUEIRÃO- CAUCAIA; RUA JOSÉ ROCHA CRISÓSTOMO; RUA MANOEL RODRIGUES DE LIMA
13,Distrito de Matuões,75.946,CAUCAIA,interior,CV,-38.82523231428571,-3.588355628571428,2.151,5,RUA ANTONIO BRASILEIRO; RUA JOSÉ PAULINO ALVES; DISTRITO DE MATUÕES
14,Cipó - Caucaia,75.932,PARQUE SOLEDADE,rmf,CV,-38.69940679310345,-3.7020965517241384,1.993,4,CIPÓ - CAUCAIA; AVENIDA AMARO RODRIGUES DOS SANTOS; RUA JOSÉ ALVES BEZERRA
15,Catuana,75.508,CAUCAIA,interior,CV,-38.91335163636364,-3.6866190606060605,3.209,5,CATUANA; RUA DA ESTACAO; RUA J
16,Alto da Raposa,75.388,CAUCAIA,rmf,CV,-38.759018437499996,-3.7043610624999994,1.9,3,ALTO DA RAPOSA; RUA CAMARÁ 2; CAMARÁ
17,Romeirão,75.385,JUAZEIRO DO NORTE,interior,CV,-39.31531508333334,-7.2254932499999995,7.959,25,ROMEIRÃO; AVENIDA PRESIDENTE CASTELO BRANCO; RUA JOAQUIM DA ROCHA
18,Alto do Garrote - Caucaia,75.38,PARQUE SOLEDADE,rmf,CV,-38.70540721428572,-3.6928268571428573,1.715,3,RUA JOAQUIM GADELHA; ALTO DO GARROTE - CAUCAIA; RUA ZEZITO PONTES
19,JARANDRAGOEIRA,75.359,CAUCAIA,rmf,CV,-38.74641870588235,-3.8078237176470586,1.683,2,JARANDRAGOEIRA; POVOADO JARANDRAGOEIRA
20,Arianópolis - Caucaia,75.34,URUCUTUBA,rmf,CV,-38.64739823809524,-3.767287619047619,0.707,2,ARIANÓPOLIS - CAUCAIA; COMUNIDADE DA VACARIA - ARATURI
21,Mutirão ll ou Frei Damião,75.33,JUAZEIRO DO NORTE,interior,PCC,-39.33870954545454,-7.244146545454544,7.977,20,MUTIRÃO LL OU FREI DAMIÃO; RUA JOSÉ MAGALHÃES LANDIM; RUA ESTUDANTE JOSÉ DOS SANTOS LOPES
22,Mangabeira- Caucaia,75.249,CAUCAIA,rmf,CV,-38.753065533333334,-3.6610709333333338,0.488,1,MANGABEIRA- CAUCAIA
23,Campo do Urubu - Caucaia,75.234,PARQUE SOLEDADE,rmf,CV,-38.667880000000004,-3.7186306,1.789,4,CAMPO DO URUBU - CAUCAIA; ITAPOA; RUA JOAO DE SALES FILHO
24,Camará,75.144,CAUCAIA,rmf,CV,-38.74877465,-3.6997147499999996,0.825,2,CAMARÁ; ALTO DA RAPOSA
25,Comunidade Madureira - Caucaia,74.667,PARQUE SOLEDADE,rmf,CV,-38.652227875,-3.719691125,1.548,3,COMUNIDADE MADUREIRA - CAUCAIA; PADRE ROMUALDO; RUA ITAMBE
26,Faixa de Gaza,74.561,JUAZEIRO DO NORTE,interior,CV,-39.321389874999994,-7.219006375,7.424,23,FAIXA DE GAZA; RUA JOSÉ MARROCOS; RUA FISCAL JOSÉ SOARES
27,Mingau ll,74.531,CAUCAIA,rmf,CV,-38.72749604761904,-3.8136852380952373,1.211,2,MINGAU LL; MINGAU - CAUCAIA
28,Caucaia,74.521,CAUCAIA,interior,CV,-41.13028516129034,-3.0140951935483873,2.598,5,CAUCAIA; RUA FRANCISCO BENTO; POÇO IMPERIAL
29,Santa Rosa- Caucaia,74.52,CAUCAIA,rmf,CV,-38.78958215094341,-3.694259094339621,1.161,1,SANTA ROSA- CAUCAIA
30,Parque Veraneio - Caucaia,74.276,IPARANA,rmf,CV,-38.65913514285713,-3.684865,1.314,2,PARQUE VERANEIO - CAUCAIA; CONDOMÍNIO SÃO PAULO E SÃO PEDRO
31,Boqueirão - Caucaia,74.089,CAUCAIA,rmf,CV,-38.87538952941177,-3.7468802352941175,1.226,1,BOQUEIRÃO - CAUCAIA
32,Comunidade dos Cariocas - Caucaia,73.94,MARECHAL RONDON,capital,CV,-38.63100255555556,-3.7793906666666666,3.429,8,COMUNIDADE DOS CARIOCAS - CAUCAIA; CONDOMÍNIOS; CAJUEIROS
33,Tucunduba,73.811,CAUCAIA,rmf,CV,-38.753029229166664,-3.8719210208333323,0.984,1,TUCUNDUBA
34,Distrito de Bolso,73.808,CAUCAIA,rmf,CV,-38.85515045161291,-3.619330677419356,0.554,1,DISTRITO DE BOLSO
35,Bairro Antonio Vieira,73.771,JUAZEIRO DO NORTE,interior,CV,-39.333412599999996,-7.2221098,6.509,17,BAIRRO ANTONIO VIEIRA; RUA LADISLAU DE ARRUDA CAMPOS; RUA CECÍLIA MEIRELES
36,Toco- Caucaia,73.693,URUCUTUBA,rmf,CV,-38.67696664583333,-3.7788568333333337,0.308,1,TOCO- CAUCAIA
37,Língua da Cobra,73.467,CAUCAIA,rmf,CV,-38.78185689189189,-3.841368378378378,0.766,1,LÍNGUA DA COBRA
38,Carrapicho- Caucaia,73.46,URUCUTUBA,rmf,CV,-38.686855,-3.782990586206896,0.625,1,CARRAPICHO- CAUCAIA
39,Franciscano,73.183,JUAZEIRO DO NORTE,interior,CV,-39.31343644444445,-7.213875,6.164,21,FRANCISCANO; RUA DO SEMINÁRIO; PIO 12
40,Santo Antônio- Juazeiro do Norte,72.998,JUAZEIRO DO NORTE,interior,CV,-39.32932818181819,-7.215488045454546,5.872,15,SANTO ANTÔNIO- JUAZEIRO DO NORTE; RUA APOLO Ⅺ; RUA MONSENHOR LIMA
41,Bom Jesus - Caucaia,72.831,PARQUE SOLEDADE,rmf,CV,-38.67954290909092,-3.714925909090909,0.522,1,BOM JESUS - CAUCAIA
42,Pio 12,72.474,JUAZEIRO DO NORTE,interior,CV,-39.306744153333334,-7.211463766666668,5.112,16,PIO 12; RUA SETE DE SETEMBRO; AREA SEM NOME
43,Frei Damião,72.352,JUAZEIRO DO NORTE,interior,PCC,-39.33711433333334,-7.254219714285715,5.112,14,FREI DAMIÃO; RUA MARIA TAVARES NOCA; RUA ANA MARIA DUARTE
44,Salesianos,72.241,JUAZEIRO DO NORTE,interior,CV,-39.32501874468086,-7.209594425531915,5.171,16,SALESIANOS; AVENIDA PADRE CÍCERO; RUA FISCAL JOSÉ SOARES
45,Mutirão,71.988,JUAZEIRO DO NORTE,interior,PCC,-39.34112122222222,-7.235104000000001,4.92,12,MUTIRÃO; RUA Mᵃ. GENEROSA DE ALMEIDA; RUA JOSÉ ROMEIRO FEIJOEIRO
46,Baixa da Raposa,71.895,JUAZEIRO DO NORTE,interior,PCC,-39.33474714285715,-7.260922428571429,5.013,8,BAIXA DA RAPOSA; RUA ANTÔNIO CORTÊZ DE ALENCAR; RUA RENAN CARVALHO
