FID,id,logradouro_id,nome,metrica,comprimento,numero_porta_minimo,numero_porta_maximo,class_viaria,pavimentacao,agua,esgoto,galeria,sarjeta,iluminacao,arborizacao,quant_autonomas,quant_autonomas_prediais,quant_autonomas_territoriais,quant_autonomas_residenciais,quant_autonomas_nao_residenciais,quant_lotes,quant_quadras,data_criacao,data_alteracao,the_geom
trechos_logradouros.fid--5ab48429_18b14a67085_2609,161219,35833,RUA LAURA CAZUMBA,40,151.44,,,Local,Sem,Sem,Sem,Sem,Sem,Com,Sem,17,0,17,0,0,18,18,2014-07-09,2016-03-22,"MULTILINESTRING ((559106.424724341 9578870.977207156, 559117.4036718813 9578719.935078507))"
trechos_logradouros.fid--5ab48429_18b14a67085_260a,125157,5169,RUA EGÍDIO DE OLIVEIRA,240,91.75,20,20,Local,Asfalto,Com,Sem,Com,Sem,Com,Sem,2,0,2,0,0,5,5,2013-05-17,2016-03-22,"MULTILINESTRING ((559014.93681462 9578864.003649352, 559106.424724341 9578870.977207156))"
trechos_logradouros.fid--5ab48429_18b14a67085_260b,161364,3152,RUA ROSITA,220,134.84,1296,1298,Local,Pedra rust,Com,Sem,Sem,Com,Com,Com,5,5,2,0,5,6,6,2014-10-02,2016-03-22,"MULTILINESTRING ((554841.8742783099 9576716.185239496, 554812.8864434593 9576597.475512372, 554809.6196836373 9576585.262934059))"
trechos_logradouros.fid--5ab48429_18b14a67085_260c,128939,4476,RUA MANOEL FIGUEIREDO,140,38.06,516,559,Local,Pedra rust,Com,Com,Com,Com,Com,Com,12,12,1,10,2,5,5,2013-05-17,2016-03-22,"MULTILINESTRING ((554332.7346427152 9577274.7923452, 554327.4177392671 9577237.110024957))"
trechos_logradouros.fid--5ab48429_18b14a67085_260d,122511,33569,RUA 11 (BARRA DO CEARÁ),20,52.27,127,137,Local,Sem,Com,Com,Sem,Sem,Com,Sem,0,0,0,0,0,3,3,2013-05-17,2016-03-22,"MULTILINESTRING ((546546.35 9589529.69, 546551.32 9589529.3, 546557.41 9589528.37, 546564.3 9589527.49, 546572.18 9589526.22, 546579.5 9589525.04, 546586 9589523.8, 546591.53 9589522.44, 546597.65 9589520.34))"
trechos_logradouros.fid--5ab48429_18b14a67085_260e,145974,33115,RUA LOCAL 1 (FLORESTA),20,115.61,624,624,Local,Asfalto,Com,Com,Sem,Com,Com,Sem,2,1,1,1,0,2,2,2013-05-17,2016-03-22,"MULTILINESTRING ((547164.9114141928 9588360.138116485, 547058.9774297188 9588313.83037127))"
trechos_logradouros.fid--5ab48429_18b14a67085_260f,143020,4955,RUA CARLINDO CRUZ,40,12.17,,,Local,Asfalto,Com,Com,Com,Sem,Com,Sem,0,0,0,0,0,0,0,2013-05-17,2016-03-22,"MULTILINESTRING ((547181.6542983999 9587997.396631828, 547183.7059226402 9587991.336060267, 547185.3964822572 9587985.817085644))"
trechos_logradouros.fid--5ab48429_18b14a67085_2610,108049,2118,RUA LAURO MAIA,140,15.03,177,183,Local,Asfalto,Com,Com,Com,Com,Com,Com,15,15,0,14,1,5,5,2013-05-17,2016-03-22,"MULTILINESTRING ((552849.4296000004 9586394.2432, 552852.3600615974 9586379.503669523))"
trechos_logradouros.fid--5ab48429_18b14a67085_2611,136305,3971,RUA SGT BARBOSA,120,80.72,,,Local,Pedra rust,Com,Com,Com,Com,Com,Sem,2,0,2,0,0,5,5,2013-05-17,2016-03-22,"MULTILINESTRING ((542287.447364666 9582046.134824108, 542265.8684654585 9581968.357640631))"
trechos_logradouros.fid--5ab48429_18b14a67085_2612,133772,7704,RUA POUSO ALEGRE,100,72.62,381,1017,Local,Asfalto,Com,Sem,Sem,Com,Com,Sem,3,2,1,1,1,4,4,2013-05-17,2016-03-22,"MULTILINESTRING ((558167.3201184208 9575131.755424028, 558195.5368149517 9575192.386342192, 558200.8836223951 9575194.478571191))"
trechos_logradouros.fid--5ab48429_18b14a67085_2613,168047,11714,RUA 02H (LOT CIDADE JARDIM FORTALEZA),20,126.4,,,Local,Sem,Sem,Sem,Sem,Sem,Sem,Sem,0,0,0,0,0,2,2,2016-03-16,2016-03-16,"MULTILINESTRING ((551066.7677133833 9576170.099664662, 551179.2434727709 9576112.426059458))"
trechos_logradouros.fid--5ab48429_18b14a67085_2614,160927,50063,AVENIDA PAU BRASIL (CID. JARD. FORT. GLEBA A),40,43.42,,,Local,Pedra rust,Com,Com,Com,Com,Com,Sem,0,0,0,0,0,0,0,2014-01-29,2016-03-22,"MULTILINESTRING ((550162.7542741502 9577213.476088218, 550158.6375256054 9577220.775192542, 550151.0813696779 9577237.474993292, 550148.4478661981 9577245.52936086, 550146.4258000003 9577253.5182))"
trechos_logradouros.fid--5ab48429_18b14a67085_2615,124760,11602,RUA NOSSA SENHORA DA CONCEICAO (GENIBAÚ),20,224.91,,,Local,Pedra rust,Com,Com,Sem,Com,Com,Com,0,0,0,0,0,0,0,2013-05-17,2016-03-22,"MULTILINESTRING ((544601.3580768063 9584267.501178488, 544603.9473632838 9584262.414827121, 544600.648381105 9584254.763379049, 544599.3414979264 9584249.927911287, 544593.9832768942 9584218.301338365, 544589.8684419566 9584190.100996146, 544587.0567960477 9584178.180024782, 544585.1896915185 9584169.224838246, 544580.5223801548 9584143.67830887, 544573.0640500431 9584110.746912839, 544571.5048862225 9584101.858047156, 544571.9949674146 9584095.4216475, 544574.1513246592 9584090.847556375, 544576.8631072547 9584086.567513967, 544602.1709878223 9584057.482123353))"
trechos_logradouros.fid--5ab48429_18b14a67085_2616,161301,50184,VIA ARTERIAL PROJETADA (CD JD GLEBA C),100,98.06,,,Arterial I,Sem,Sem,Sem,Sem,Sem,Sem,Sem,1,0,1,0,0,1,1,2014-09-08,2017-12-21,"MULTILINESTRING ((549283.9489488336 9574773.658724919, 549286.8050692442 9574773.515578073, 549326.0000829104 9574771.941481141, 549365.5623858518 9574770.787143389, 549381.9612629608 9574770.6468107))"
trechos_logradouros.fid--5ab48429_18b14a67085_2617,134003,1382,AVENIDA G (CONJ. RESID. PREF. JOSÉ WALTER),100,64,110,361,Coletora,Asfalto,Com,Com,Com,Com,Com,Com,4,5,0,5,0,5,5,2013-05-17,2017-11-07,"MULTILINESTRING ((549612.9346481627 9575593.651356392, 549674.1429820922 9575574.969569718))"
trechos_logradouros.fid--5ab48429_18b14a67085_2618,135989,1382,AVENIDA G (CONJ. RESID. PREF. JOSÉ WALTER),120,63.54,111,141,Coletora,Asfalto,Com,Com,Com,Com,Com,Com,4,4,0,4,0,6,6,2013-05-17,2017-11-07,"MULTILINESTRING ((549552.3097332163 9575612.679614365, 549612.9346481627 9575593.651356392))"
trechos_logradouros.fid--5ab48429_18b14a67085_2619,129383,1382,AVENIDA G (CONJ. RESID. PREF. JOSÉ WALTER),140,166.49,60,190,Coletora,Asfalto,Com,Com,Com,Com,Com,Com,8,7,1,1,6,7,7,2013-05-17,2017-11-07,"MULTILINESTRING ((549416.1496940951 9575647.182563113, 549425.2995850968 9575637.552048165, 549571.616720937 9575592.1201681))"
trechos_logradouros.fid--5ab48429_18b14a67085_261a,130600,1382,AVENIDA G (CONJ. RESID. PREF. JOSÉ WALTER),160,64.27,161,320,Coletora,Asfalto,Com,Com,Com,Com,Com,Com,6,7,0,4,3,5,5,2013-05-17,2017-11-07,"MULTILINESTRING ((549490.7926246697 9575631.294868212, 549552.3097332163 9575612.679614365))"
trechos_logradouros.fid--5ab48429_18b14a67085_261b,130817,1382,AVENIDA G (CONJ. RESID. PREF. JOSÉ WALTER),180,77.88,210,240,Coletora,Asfalto,Com,Com,Com,Com,Com,Com,4,4,0,4,0,4,4,2013-05-17,2017-11-07,"MULTILINESTRING ((549416.1496940951 9575647.182563113, 549428.8644803399 9575650.319347408, 549490.7926246697 9575631.294868212))"
trechos_logradouros.fid--5ab48429_18b14a67085_261c,132130,2216,RUA SAO LUIS,200,55.96,,,Local,Pedra rust,Com,Com,Com,Com,Com,Com,0,0,0,0,0,0,0,2013-05-17,2017-11-29,"MULTILINESTRING ((545060.8217109609 9584112.711637141, 545036.6098381296 9584062.258574603))"
trechos_logradouros.fid--5ab48429_18b14a67085_261d,161275,50174,RUA 07 C (CID JD GLEBA C),80,101.94,746,746,Local,Pedra rust,Sem,Sem,Sem,Com,Sem,Sem,0,0,0,0,0,2,2,2014-09-04,2017-12-21,"MULTILINESTRING ((549381.9454251498 9574770.64694623, 549401.290379449 9574784.679264385, 549409.6283224786 9574789.859351425, 549426.0573227837 9574801.57262016, 549436.7815426872 9574809.079574093, 549460.7065242731 9574823.391839864, 549467.0169539091 9574826.60892164))"
trechos_logradouros.fid--5ab48429_18b14a67085_261e,161293,50183,RUA 14 C (CID JD GLEBA C),20,124.29,36,59,Local,Sem,Sem,Sem,Sem,Sem,Sem,Sem,273,273,1,273,0,2,2,2014-09-08,2017-12-21,"MULTILINESTRING ((549284.8911451289 9574866.417950206, 549286.1535418216 9574990.700904634))"
trechos_logradouros.fid--5ab48429_18b14a67085_261f,161298,50184,VIA ARTERIAL PROJETADA (CD JD GLEBA C),60,287.72,,,Arterial I,Sem,Sem,Sem,Sem,Sem,Sem,Sem,1,0,1,0,0,1,1,2014-09-08,2017-12-21,"MULTILINESTRING ((549381.9612629608 9574770.6468107, 549408.4827622457 9574770.419854105, 549454.9710916977 9574772.833469406, 549496.5272507615 9574775.50943419, 549562.6393219898 9574779.916905604, 549654.0418839562 9574786.265763242, 549669.1310294531 9574787.285080329))"
trechos_logradouros.fid--5ab48429_18b14a67085_2620,168070,11720,RUA 08H (LOT CIDADE JARDIM FORTALEZA),60,118.46,204,204,Local,Sem,Com,Sem,Sem,Com,Com,Sem,235,235,1,233,2,3,3,2016-03-16,2016-03-30,"MULTILINESTRING ((551514.0444726751 9576452.030697996, 551514.8280766774 9576458.592783077, 551518.472215065 9576478.511867438, 551523.9534988796 9576506.072830329, 551527.7724552585 9576522.985048909, 551537.4141781015 9576554.98665561, 551541.8605496257 9576566.923760789))"
trechos_logradouros.fid--5ab48429_18b14a67085_2621,118071,1794,RUA CEL JOÃO CARNEIRO,20,111.47,222,2045,Local,Asfalto,Com,Com,Com,Com,Com,Com,27,30,0,21,9,13,13,2013-05-17,2018-11-19,"MULTILINESTRING ((553069.8410556787 9584917.585063076, 552959.1074021184 9584904.754713537))"
trechos_logradouros.fid--5ab48429_18b14a67085_2622,160955,50067,AVENIDA DES RAIMUNDO DANÚSIO STUDART GURGEL,60,272.35,,,Arterial I,Pedra rust,Com,Com,Com,Com,Com,Com,1,0,1,0,0,2,2,2014-02-05,2018-12-05,"MULTILINESTRING ((550416.6436999999 9576597.7936, 550415.3208511936 9576604.19774347, 550409.397450255 9576632.874917535, 550385.4500176874 9576750.257643798, 550384.9119790446 9576765.74790867, 550386.8378436576 9576787.347629016, 550392.077747664 9576814.91963659, 550408.8970515886 9576863.570356855))"
trechos_logradouros.fid--5ab48429_18b14a67085_2623,158097,9555,RUA CONSUELO FREIRE,60,220.04,100,475,Local,Pedra rust,Com,Com,Com,Com,Com,Com,52,59,1,57,2,3,3,2013-06-18,2020-05-25,"MULTILINESTRING ((555856.6805160502 9579080.220551379, 555783.0575893346 9579004.943575092, 555672.0145971079 9578976.024247782))"
trechos_logradouros.fid--5ab48429_18b14a67085_2624,106664,1610,AVENIDA MIT HULL,300,112.6,736,736,Expressa,Asfalto,Com,Com,Com,Com,Com,Com,2,2,0,0,2,1,1,2013-05-17,2017-08-01,"MULTILINESTRING ((547011.3471043208 9586892.528200679, 546899.733008182 9586877.650944235))"
trechos_logradouros.fid--5ab48429_18b14a67085_2625,153371,1610,AVENIDA MIT HULL,360,108.12,4005,4035,Expressa,Asfalto,Com,Com,Com,Com,Com,Com,6,6,0,0,6,5,5,2013-05-17,2017-08-01,"MULTILINESTRING ((546632.402469504 9586799.406964714, 546525.3487942099 9586784.232360234))"
trechos_logradouros.fid--5ab48429_18b14a67085_2626,152421,1610,AVENIDA MIT HULL,380,270.17,4000,4000,Expressa,Asfalto,Com,Com,Com,Com,Com,Com,4,9,3,3,6,8,8,2013-05-17,2017-08-01,"MULTILINESTRING ((546681.3881045637 9586846.759752361, 546413.8987603493 9586808.811683118))"
trechos_logradouros.fid--5ab48429_18b14a67085_2627,152565,1610,AVENIDA MIT HULL,400,117.05,4085,4163,Expressa,Asfalto,Com,Com,Com,Com,Com,Com,15,15,0,5,10,9,9,2013-05-17,2017-08-01,"MULTILINESTRING ((546525.3487942099 9586784.232360234, 546409.5148609175 9586767.395925296))"
trechos_logradouros.fid--5ab48429_18b14a67085_2628,112287,3692,AVENIDA WENEFRIDO MELO,80,94.27,,,Arterial I,Asfalto,Com,Com,Com,Com,Com,Com,0,0,0,0,0,0,0,2013-05-17,2017-11-07,"MULTILINESTRING ((547137.5221740444 9578724.930334248, 547207.0161053933 9578661.227563843))"
trechos_logradouros.fid--5ab48429_18b14a67085_2629,126064,9101,AVENIDA MANOEL MAVIGNIER,260,89.18,5535,5535,Arterial I,Asfalto,Com,Com,Com,Com,Com,Sem,1,1,0,0,1,1,1,2013-05-17,2017-11-07,"MULTILINESTRING ((563332.4790399845 9578789.267527336, 563420.7872239914 9578776.832082486))"
trechos_logradouros.fid--5ab48429_18b14a67085_262a,152719,937,AVENIDA PRS COSTA E SILVA,260,51.89,1941,1971,Arterial I,Asfalto,Com,Com,Com,Com,Com,Com,5,5,0,0,5,4,4,2013-05-17,2017-11-07,"MULTILINESTRING ((554127.9692711199 9576770.876010193, 554080.0441682771 9576790.759585558))"
trechos_logradouros.fid--5ab48429_18b14a67085_262b,126962,9101,AVENIDA MANOEL MAVIGNIER,340,91.03,,,Arterial I,Asfalto,Com,Com,Com,Com,Com,Sem,3,4,1,0,4,4,4,2013-05-17,2017-11-07,"MULTILINESTRING ((563684.4768308846 9578735.093639411, 563774.2380953319 9578719.945744926))"
trechos_logradouros.fid--5ab48429_18b14a67085_262c,126353,9101,AVENIDA MANOEL MAVIGNIER,280,92.67,5621,5689,Arterial I,Asfalto,Com,Com,Com,Com,Com,Sem,10,7,3,0,7,7,7,2013-05-17,2017-11-07,"MULTILINESTRING ((563420.7872239914 9578776.832082486, 563512.3647827458 9578762.628661044))"
trechos_logradouros.fid--5ab48429_18b14a67085_262d,109963,6959,RUA 15 (PLANALTO ITAPERY),100,67.2,105,105,Coletora,Pedra rust,Com,Com,Sem,Com,Com,Sem,0,0,0,0,0,2,2,2013-05-17,2016-03-22,"MULTILINESTRING ((549865.9156894512 9578792.873086328, 549824.5894999998 9578739.8855))"
trechos_logradouros.fid--5ab48429_18b14a67085_262e,120299,3309,RUA SOBREIRA FILHO,20,139.7,7,1640,Coletora,Asfalto,Com,Com,Com,Com,Com,Com,40,47,6,42,5,37,37,2013-05-17,2016-03-22,"MULTILINESTRING ((546716.3242379988 9582148.479157813, 546582.2760519112 9582187.801128954))"
trechos_logradouros.fid--5ab48429_18b14a67085_262f,149934,2181,AVENIDA TEN LISBOA,2020,41.92,1508,1642,Coletora,Paralelep.,Com,Com,Com,Com,Com,Com,12,11,1,8,3,11,11,2013-05-17,2016-03-22,"MULTILINESTRING ((545824.5382148562 9587410.097822817, 545786.5312765656 9587392.418637237))"
trechos_logradouros.fid--5ab48429_18b14a67085_2630,148048,1651,AVENIDA INDEPENDÊNCIA,660,232.21,1990,2208,Coletora,Asfalto,Com,Com,Com,Com,Com,Com,57,57,1,51,6,45,45,2013-05-17,2016-03-22,"MULTILINESTRING ((544450.6419035831 9588337.159242144, 544673.5408977373 9588272.071506802))"
trechos_logradouros.fid--5ab48429_18b14a67085_2631,168049,11715,RUA 03H (LOT CIDADE JARDIM FORTALEZA),40,272.37,,,Local,Sem,Sem,Sem,Sem,Sem,Sem,Sem,2,0,3,0,0,7,7,2016-03-16,2016-03-16,"MULTILINESTRING ((551248.0895710017 9576365.634140829, 551252.3527846821 9576384.580063945, 551259.8003414588 9576418.959124394, 551274.8125569342 9576489.975673037, 551284.1621875258 9576533.060946072, 551297.089778336 9576588.721017677, 551307.0415736523 9576631.535802094))"
trechos_logradouros.fid--5ab48429_18b14a67085_2632,168050,11715,RUA 03H (LOT CIDADE JARDIM FORTALEZA),60,225.48,,,Local,Sem,Sem,Sem,Sem,Sem,Sem,Sem,0,0,0,0,0,3,3,2016-03-16,2016-03-16,"MULTILINESTRING ((551211.9345559163 9576145.381631145, 551206.6193194933 9576166.532714695, 551206.4544288573 9576177.963184673, 551218.0434446088 9576232.761145266, 551228.6567057923 9576281.016920261, 551242.863984579 9576342.411387753, 551248.0895710017 9576365.634140829))"
trechos_logradouros.fid--5ab48429_18b14a67085_2633,168051,11716,RUA 04H (LOT CIDADE JARDIM FORTALEZA),20,272.7,,,Local,Sem,Sem,Sem,Sem,Sem,Sem,Sem,0,0,0,0,0,2,2,2016-03-16,2016-03-16,"MULTILINESTRING ((551841.5074266457 9576571.07737885, 551970.014771419 9576811.595583852))"
trechos_logradouros.fid--5ab48429_18b14a67085_2634,168056,11717,RUA 05H DO LOTEAMENTO CIDADE JARDIM,20,199.21,,,Local,Sem,Sem,Sem,Sem,Sem,Sem,Sem,1,0,1,0,0,2,2,2016-03-16,2016-03-16,"MULTILINESTRING ((551508.416312582 9576366.348114092, 551517.6917309796 9576367.037640253, 551570.0296868839 9576370.178761175, 551581.4235338292 9576371.489922509, 551706.6054496196 9576385.895389648))"
trechos_logradouros.fid--5ab48429_18b14a67085_2635,168057,11717,RUA 05H DO LOTEAMENTO CIDADE JARDIM,40,267.06,,,Local,Sem,Sem,Sem,Sem,Sem,Sem,Sem,359,0,391,0,0,38,38,2016-03-16,2016-03-16,"MULTILINESTRING ((551248.0895710017 9576365.634140829, 551259.3480101189 9576358.393297924, 551271.3866042361 9576351.34652232, 551283.4967488076 9576346.335879212, 551292.9523893901 9576344.004010797, 551315.622024781 9576343.39993234, 551397.0413945162 9576353.760323627, 551426.1308232419 9576357.919058016, 551468.9889190241 9576363.417117545, 551508.416312582 9576366.348114092))"
trechos_logradouros.fid--5ab48429_18b14a67085_2636,168058,11717,RUA 05H DO LOTEAMENTO CIDADE JARDIM,60,135.66,,,Local,Sem,Sem,Sem,Sem,Sem,Sem,Sem,0,0,0,0,0,2,2,2016-03-16,2016-03-16,"MULTILINESTRING ((551134.0003394809 9576439.039340118, 551235.3440461349 9576373.831399998, 551248.0895710017 9576365.634140829))"
trechos_logradouros.fid--5ab48429_18b14a67085_2637,168059,11718,RUA 06H (LOT CIDADE JARDIM FORTALEZA),20,132.17,,,Local,Sem,Sem,Sem,Sem,Sem,Sem,Sem,0,0,0,0,0,2,2,2016-03-16,2016-03-16,"MULTILINESTRING ((551199.1092644951 9576705.264040716, 551228.171004745 9576691.152491253, 551262.180785012 9576663.854312055, 551268.5526098015 9576656.00931243, 551284.3632436375 9576642.364849342, 551288.0108973782 9576639.527994623, 551307.0415736523 9576631.535802094))"
trechos_logradouros.fid--5ab48429_18b14a67085_2638,121746,596,RODOVIA BR 116,20,48.69,1969,1969,Expressa,Asfalto,Com,Com,Com,Com,Com,Com,1,25,7,12,13,27,27,2013-05-17,2018-11-01,"MULTILINESTRING ((552928.0268057116 9584942.232879821, 552959.1074021184 9584904.754713537))"
trechos_logradouros.fid--5ab48429_18b14a67085_2639,152144,1135,AVENIDA PRO EDUARDO GIRÃO,300,78.31,298,940,Expressa,Asfalto,Com,Com,Com,Com,Com,Com,1,1,0,0,1,3,3,2013-05-17,2018-11-14,"MULTILINESTRING ((552116.9635519112 9585035.801128954, 552061.2135519112 9585090.801128954))"
trechos_logradouros.fid--5ab48429_18b14a67085_263a,148645,1135,AVENIDA PRO EDUARDO GIRÃO,580,68.31,720,720,Expressa,Asfalto,Com,Com,Com,Com,Com,Com,5,5,0,0,5,1,1,2013-05-17,2018-11-14,"MULTILINESTRING ((550954.4328043739 9585801.925353004, 550927.188517034 9585804.37244468, 550886.2405163003 9585805.188141905))"
trechos_logradouros.fid--5ab48429_18b14a67085_263b,124761,8980,AVENIDA GURGEL DO AMARAL,20,34.8,678,678,Arterial I,Asfalto,Com,Com,Com,Com,Com,Sem,0,1,0,0,1,2,2,2013-05-17,2019-05-21,"MULTILINESTRING ((556631.1194673751 9576230.03144214, 556661.9010519112 9576213.801128954))"
trechos_logradouros.fid--5ab48429_18b14a67085_263c,168061,11721,RUA 09H (LOT CIDADE JARDIM FORTALEZA),40,145.79,97,97,Local,Sem,Sem,Sem,Sem,Sem,Sem,Sem,0,0,0,0,0,1,1,2016-03-16,2016-03-16,"MULTILINESTRING ((551538.3496531902 9576804.463376293, 551541.472982116 9576796.080096, 551544.1292162046 9576768.790460648, 551544.2735255583 9576753.782157836, 551548.1452608228 9576733.181566032, 551554.2326761945 9576717.425048256, 551566.2977522116 9576693.244964218, 551572.3719006965 9576683.23375744, 551582.8015256743 9576668.765647361))"
trechos_logradouros.fid--5ab48429_18b14a67085_263d,168062,11721,RUA 09H (LOT CIDADE JARDIM FORTALEZA),60,193.36,201,201,Local,Sem,Sem,Sem,Sem,Sem,Sem,Sem,0,0,0,0,0,2,2,2016-03-16,2016-03-16,"MULTILINESTRING ((551582.8015256743 9576668.765647361, 551585.4307809292 9576665.135960644, 551593.0706619337 9576656.039948957, 551603.2482814854 9576646.406101545, 551617.1316153529 9576634.387268158, 551632.5513583339 9576620.595544938, 551662.9839706386 9576592.227669505, 551681.668272422 9576573.470561016, 551698.5333165659 9576555.56379104, 551715.6143078215 9576538.372823434, 551720.1767408515 9576533.033124996))"
trechos_logradouros.fid--5ab48429_18b14a67085_263e,168063,11721,RUA 09H (LOT CIDADE JARDIM FORTALEZA),80,95.17,,,Local,Sem,Sem,Sem,Sem,Sem,Sem,Sem,0,0,0,0,0,1,1,2016-03-16,2016-03-16,"MULTILINESTRING ((551720.1767408515 9576533.033124996, 551725.3413301925 9576526.988685668, 551731.8633453844 9576518.771769514, 551741.3003470261 9576505.287905792, 551746.7314926911 9576495.790191717, 551756.1132196774 9576480.478504492, 551758.8154818277 9576476.725398013, 551776.1995483764 9576456.39325173))"
trechos_logradouros.fid--5ab48429_18b14a67085_263f,168065,11722,RUA 10H (LOT CIDADE JARDIM FORTALEZA),40,47.11,,,Local,Sem,Sem,Sem,Sem,Sem,Sem,Sem,0,0,0,0,0,1,1,2016-03-16,2016-03-16,"MULTILINESTRING ((551332.2898030798 9576912.43852423, 551341.9710702234 9576901.904904885, 551354.5711086779 9576889.107129205, 551365.7262190032 9576879.307385718))"
trechos_logradouros.fid--5ab48429_18b14a67085_2640,168066,11723,RUA 11H (LOT CIDADE JARDIM FORTALEZA),20,221.97,,,Local,Sem,Sem,Sem,Sem,Sem,Sem,Sem,0,0,0,0,0,2,2,2016-03-16,2016-03-16,"MULTILINESTRING ((551547.4724276104 9576943.384858698, 551540.9409082291 9576930.588105602, 551549.7888198111 9576912.9838895, 551573.9067867794 9576882.802540496, 551599.2981754827 9576860.790700512, 551626.6691922254 9576839.846020864, 551659.1725382907 9576815.06667316, 551674.804981255 9576802.369221507, 551683.4439164934 9576794.024603706, 551688.7649365522 9576787.818636375))"
trechos_logradouros.fid--5ab48429_18b14a67085_2641,149857,596,RODOVIA BR 116,2380,135.12,3553,7575,Expressa,Asfalto,Com,Com,Com,Com,Com,Com,4,2,4,0,2,6,6,2013-05-17,2022-05-19,"MULTILINESTRING ((555333.9617788919 9578180.852873726, 555301.6695678581 9578049.644521525))"
trechos_logradouros.fid--5ab48429_18b14a67085_2642,149887,596,RODOVIA BR 116,2520,104.26,100,100,Expressa,Asfalto,Com,Com,Com,Com,Com,Com,0,1,0,1,0,3,3,2013-05-17,2022-05-19,"MULTILINESTRING ((555150.3087367461 9577610.11271402, 555124.89198808 9577508.99825737))"
trechos_logradouros.fid--5ab48429_18b14a67085_2643,149956,596,RODOVIA BR 116,2660,176.47,33,9460,Expressa,Asfalto,Com,Com,Com,Com,Com,Com,6,5,3,1,4,7,7,2013-05-17,2022-05-19,"MULTILINESTRING ((555073.6922853831 9577260.46933423, 555030.0850576891 9577089.467413532))"
trechos_logradouros.fid--5ab48429_18b14a67085_2644,149904,596,RODOVIA BR 116,2720,97.69,,,Expressa,Asfalto,Com,Com,Com,Com,Com,Com,1,2,10,1,1,12,12,2013-05-17,2022-05-19,"MULTILINESTRING ((555030.0850576891 9577089.467413532, 555005.9465129342 9576994.810226312))"
trechos_logradouros.fid--5ab48429_18b14a67085_2645,149954,596,RODOVIA BR 116,2740,100.13,591,9555,Expressa,Asfalto,Com,Com,Com,Com,Com,Com,3,3,0,2,1,5,5,2013-05-17,2022-05-19,"MULTILINESTRING ((555051.4720682603 9577086.900666459, 555026.0242707921 9576990.057659429))"
trechos_logradouros.fid--5ab48429_18b14a67085_2646,135588,2602,RUA CEL JAIME ROLEMBERG,100,58.37,267,365,Coletora,Asfalto,Com,Com,Com,Com,Com,Com,7,7,0,5,2,8,8,2013-05-17,2016-03-22,"MULTILINESTRING ((548602.644088281 9579685.36396797, 548554.9214416321 9579651.757202525))"
trechos_logradouros.fid--5ab48429_18b14a67085_2647,121379,8055,AVENIDA CONTORNO SUL (SÃO BENTO),20,46.93,,,Coletora,Asfalto,Com,Com,Com,Com,Com,Com,1,0,1,0,0,1,1,2013-05-17,2016-03-22,"MULTILINESTRING ((556431.1968135865 9573550.429439042, 556477.55315117 9573557.72015715))"
trechos_logradouros.fid--5ab48429_18b14a67085_2648,168064,11722,RUA 10H (LOT CIDADE JARDIM FORTALEZA),20,189.83,97,97,Local,Sem,Sem,Sem,Sem,Com,Com,Sem,0,0,0,0,0,2,2,2016-03-16,2016-03-30,"MULTILINESTRING ((551365.7262190032 9576879.307385718, 551387.4740823073 9576862.402220454, 551406.9045907834 9576850.663567238, 551441.5333818935 9576835.278216073, 551488.3536609148 9576818.095888415, 551538.3496531902 9576804.463376293))"
trechos_logradouros.fid--5ab48429_18b14a67085_2649,168053,11716,RUA 04H (LOT CIDADE JARDIM FORTALEZA),60,99.02,,,Paisagistica,Sem,Sem,Sem,Sem,Sem,Sem,Sem,0,0,0,0,0,1,1,2016-03-16,2017-11-07,"MULTILINESTRING ((551706.6054496196 9576385.895389648, 551712.0489548513 9576391.530861882, 551754.7208497837 9576434.11712086, 551776.1716355057 9576456.35279514))"
trechos_logradouros.fid--5ab48429_18b14a67085_264a,168046,11713,RUA 01H (LOT CIDADE JARDIM FORTALEZA),60,114.88,,,Paisagistica,Sem,Sem,Sem,Sem,Sem,Sem,Sem,0,0,0,0,0,1,1,2016-03-16,2017-11-07,"MULTILINESTRING ((551126.4108079346 9576013.136442158, 551126.9568623464 9576017.29329013, 551129.217297606 9576030.039518032, 551131.9174465927 9576039.220983379, 551134.7668162467 9576047.215357035, 551137.8603880226 9576055.21050065, 551140.9374963314 9576062.159977604, 551144.0503481467 9576068.215239642, 551147.0413938987 9576073.475637937, 551149.0416654219 9576076.721724164, 551151.6981633089 9576080.591936838, 551155.5530566511 9576085.911971172, 551157.6576859544 9576088.57356439, 551161.5203666978 9576093.354880637, 551163.8018111774 9576095.900688391, 551167.3751169614 9576099.648706049, 551171.64594093 9576104.153803686, 551174.1153069749 9576106.793681087, 551179.2434727709 9576112.426059458))"
trechos_logradouros.fid--5ab48429_18b14a67085_264b,168052,11716,RUA 04H (LOT CIDADE JARDIM FORTALEZA),40,132.02,,,Paisagistica,Sem,Sem,Sem,Sem,Sem,Sem,Sem,0,0,0,0,0,1,1,2016-03-16,2017-11-07,"MULTILINESTRING ((551776.1995483764 9576456.39325173, 551782.8748670426 9576466.068380594, 551787.6945451229 9576474.8190482, 551828.9244101774 9576548.518853992, 551835.760635405 9576560.738842366, 551841.5074266457 9576571.07737885))"
